ComponentId,Amount,Unit,UsedByClass,UsedById,UsesClass,UsesId,CreateTS,ModifiedTS,ClassName,RecordId
2cdad223-e238-4dd7-b405-e01ed2e1254d,1,ea,wt.part.WTPart,81182,wt.part.WTPartMaster,81226,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81803
bcbe7043-115d-4dde-b539-fdc9b97387ab,1,ea,wt.part.WTPart,81182,wt.part.WTPartMaster,81258,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81805
5a41962f-6c4f-453b-963e-a950d2611234,1,ea,wt.part.WTPart,81182,wt.part.WTPartMaster,81290,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81807
71978488-8956-46da-a5b9-11c715ab6eec,1,ea,wt.part.WTPart,81182,wt.part.WTPartMaster,81322,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81809
02437b8f-ef97-4301-aaae-153824e53857,1,ea,wt.part.WTPart,81182,wt.part.WTPartMaster,81354,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81811
e14c79a7-8cc0-4ca2-b8d4-77bf7d3b7280,1,ea,wt.part.WTPart,81182,wt.part.WTPartMaster,81386,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81813
fb03c8fa-d19f-4a70-a9fb-be6ba47d8c9a,1,ea,wt.part.WTPart,80125,wt.part.WTPartMaster,81418,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81815
7a6ec45b-7446-4ac9-846e-d4e2a6907cbc,2,ea,wt.part.WTPart,81421,wt.part.WTPartMaster,81483,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81817
3c0a24d0-f68b-4dc4-a13b-fa50d41b3f0a,2,ea,wt.part.WTPart,81421,wt.part.WTPartMaster,81515,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81820
5f34dbbd-f064-4594-bf56-c41772e657a5,2,ea,wt.part.WTPart,81421,wt.part.WTPartMaster,81547,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81823
2054ac5c-a09a-47a3-8bef-eeb1cf2eb280,2,ea,wt.part.WTPart,81421,wt.part.WTPartMaster,81579,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81826
c965ae0e-ebee-45fe-9abf-cd85666fbaa0,2,ea,wt.part.WTPart,81421,wt.part.WTPartMaster,81611,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81829
3a4e2ccc-6d67-4b5a-81e1-0f46e87a127f,2,ea,wt.part.WTPart,81421,wt.part.WTPartMaster,81643,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81832
08d08b70-a311-4d6b-9336-7fe5603a0e75,1,ea,wt.part.WTPart,80125,wt.part.WTPartMaster,81675,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81835
9a2c5a1b-dec7-40c8-81d0-1699593109f2,1,ea,wt.part.WTPart,80125,wt.part.WTPartMaster,81707,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81837
069a4473-7c73-4eaf-84bb-0c2ba1d34201,4,ea,wt.part.WTPart,80125,wt.part.WTPartMaster,80700,2018-05-23 07:40:06.0000000,2018-05-23 07:40:06.0000000,wt.part.WTPartUsageLink,81839
3cac6940-4a91-41a3-b5e2-7627520a05c3,1,ea,wt.part.WTPart,81856,wt.part.WTPartMaster,81179,2018-05-23 07:40:07.0000000,2018-05-23 07:40:07.0000000,wt.part.WTPartUsageLink,81861
c4728f99-0371-46e8-ae28-a65709703b15,1,ea,wt.part.WTPart,81856,wt.part.WTPartMaster,80362,2018-05-23 07:40:07.0000000,2018-05-23 07:40:07.0000000,wt.part.WTPartUsageLink,81862
08d08b70-a311-4d6b-9336-7fe5603a0e75,1,ea,wt.part.WTPart,81856,wt.part.WTPartMaster,81675,2018-05-23 07:40:07.0000000,2018-05-23 07:40:07.0000000,wt.part.WTPartUsageLink,81863
9a2c5a1b-dec7-40c8-81d0-1699593109f2,1,ea,wt.part.WTPart,81856,wt.part.WTPartMaster,81707,2018-05-23 07:40:07.0000000,2018-05-23 07:40:07.0000000,wt.part.WTPartUsageLink,81864
16111b37-4c24-455b-9f32-bdf3a65c8f9c,1,ea,wt.part.WTPart,81856,wt.part.WTPartMaster,81010,2018-05-23 07:40:07.0000000,2018-05-23 07:40:07.0000000,wt.part.WTPartUsageLink,81865
069a4473-7c73-4eaf-84bb-0c2ba1d34201,4,ea,wt.part.WTPart,81856,wt.part.WTPartMaster,80700,2018-05-23 07:40:07.0000000,2018-05-23 07:40:07.0000000,wt.part.WTPartUsageLink,81866
23166d35-a863-4fa6-ab98-e1e190cb1948,2,ea,wt.part.WTPart,81856,wt.part.WTPartMaster,81847,2018-05-23 07:40:09.0000000,2018-05-23 07:40:09.0000000,wt.part.WTPartUsageLink,82211
7d8d1cce-f83e-480b-b71e-eeabf5df440a,1,ea,wt.part.WTPart,81850,wt.part.WTPartMaster,81515,2018-05-23 07:40:09.0000000,2018-05-23 07:40:09.0000000,wt.part.WTPartUsageLink,82214
4703f487-efa9-4450-91c1-252577ca02a0,1,ea,wt.part.WTPart,81850,wt.part.WTPartMaster,81547,2018-05-23 07:40:09.0000000,2018-05-23 07:40:09.0000000,wt.part.WTPartUsageLink,82216
56cf5767-8da3-421b-b687-73809683bc6c,1,ea,wt.part.WTPart,81850,wt.part.WTPartMaster,81579,2018-05-23 07:40:09.0000000,2018-05-23 07:40:09.0000000,wt.part.WTPartUsageLink,82218
34890c8f-09e8-41b9-8313-8d974a5cf1a2,1,ea,wt.part.WTPart,81850,wt.part.WTPartMaster,81611,2018-05-23 07:40:09.0000000,2018-05-23 07:40:09.0000000,wt.part.WTPartUsageLink,82220
bdcd580d-a6aa-4f94-8125-d620a1871b71,1,ea,wt.part.WTPart,81850,wt.part.WTPartMaster,81643,2018-05-23 07:40:09.0000000,2018-05-23 07:40:09.0000000,wt.part.WTPartUsageLink,82222
491ad718-92f0-4109-a3a0-52022f660a45,2,ea,wt.part.WTPart,81856,wt.part.WTPartMaster,81483,2018-05-23 07:40:09.0000000,2018-05-23 07:40:09.0000000,wt.part.WTPartUsageLink,82224
